image_path,champion_en,champion_cn,skin_num
Aatrox/Aatrox_0.jpg,Aatrox,暗裔剑魔,0
Aatrox/Aatrox_1.jpg,Aatrox,暗裔剑魔,1
Aatrox/Aatrox_11.jpg,Aatrox,暗裔剑魔,11
Aatrox/Aatrox_2.jpg,Aatrox,暗裔剑魔,2
Aatrox/Aatrox_20.jpg,Aatrox,暗裔剑魔,20
Aatrox/Aatrox_21.jpg,Aatrox,暗裔剑魔,21
Aatrox/Aatrox_3.jpg,Aatrox,暗裔剑魔,3
Aatrox/Aatrox_30.jpg,Aatrox,暗裔剑魔,30
Aatrox/Aatrox_31.jpg,Aatrox,暗裔剑魔,31
Aatrox/Aatrox_33.jpg,Aatrox,暗裔剑魔,33
Aatrox/Aatrox_7.jpg,Aatrox,暗裔剑魔,7
Aatrox/Aatrox_8.jpg,Aatrox,暗裔剑魔,8
Aatrox/Aatrox_9.jpg,Aatrox,暗裔剑魔,9
Ahri/Ahri_0.jpg,Ahri,九尾妖狐,0
Ahri/Ahri_1.jpg,Ahri,九尾妖狐,1
Ahri/Ahri_14.jpg,Ahri,九尾妖狐,14
Ahri/Ahri_15.jpg,Ahri,九尾妖狐,15
Ahri/Ahri_16.jpg,Ahri,九尾妖狐,16
Ahri/Ahri_17.jpg,Ahri,九尾妖狐,17
Ahri/Ahri_2.jpg,Ahri,九尾妖狐,2
Ahri/Ahri_27.jpg,Ahri,九尾妖狐,27
Ahri/Ahri_28.jpg,Ahri,九尾妖狐,28
Ahri/Ahri_3.jpg,Ahri,九尾妖狐,3
Ahri/Ahri_4.jpg,Ahri,九尾妖狐,4
Ahri/Ahri_42.jpg,Ahri,九尾妖狐,42
Ahri/Ahri_5.jpg,Ahri,九尾妖狐,5
Ahri/Ahri_6.jpg,Ahri,九尾妖狐,6
Ahri/Ahri_65.jpg,Ahri,九尾妖狐,65
Ahri/Ahri_66.jpg,Ahri,九尾妖狐,66
Ahri/Ahri_7.jpg,Ahri,九尾妖狐,7
Ahri/Ahri_76.jpg,Ahri,九尾妖狐,76
Ahri/Ahri_85.jpg,Ahri,九尾妖狐,85
