bv_id,p_index,p_time,global_time,frame_file,naafiri_side,predicted_opponent,true_opponent,confidence,screenshot_path,top_crop_path,bottom_crop_path
BV1hgVQ6eEzh,1,00:35:56,2156,frame_001074.jpg,下方,Talon,Talon,低,data/screenshots/BV1hgVQ6eEzh\match_2156_Naafiri_vs_Talon.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_2156_Naafiri_vs_Talon.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_2156_Naafiri_vs_Talon.jpg
BV1hgVQ6eEzh,2,00:02:32,3752,frame_001872.jpg,下方,Yone,Yone,中,data/screenshots/BV1hgVQ6eEzh\match_3752_Naafiri_vs_Yone.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_3752_Naafiri_vs_Yone.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_3752_Naafiri_vs_Yone.jpg
BV1hgVQ6eEzh,2,00:58:40,7120,frame_003556.jpg,上方,Hwei,Hwei,低,data/screenshots/BV1hgVQ6eEzh\match_7120_Naafiri_vs_Hwei.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_7120_Naafiri_vs_Hwei.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_7120_Naafiri_vs_Hwei.jpg
BV1hgVQ6eEzh,3,00:23:30,8610,frame_004301.jpg,下方,Singed,Singed,高,data/screenshots/BV1hgVQ6eEzh\match_8610_Naafiri_vs_Singed.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_8610_Naafiri_vs_Singed.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_8610_Naafiri_vs_Singed.jpg
BV1hgVQ6eEzh,4,00:30:04,12604,frame_006298.jpg,上方,Vladimir,Vladimir,中,data/screenshots/BV1hgVQ6eEzh\match_12604_Naafiri_vs_Vladimir.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_12604_Naafiri_vs_Vladimir.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_12604_Naafiri_vs_Vladimir.jpg
BV1hgVQ6eEzh,4,00:58:50,14330,frame_007161.jpg,下方,Akali,Akali,高,data/screenshots/BV1hgVQ6eEzh\match_14330_Naafiri_vs_Akali.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/top_mid/match_14330_Naafiri_vs_Akali.jpg,data/gold_crops_from_screenshot/BV1hgVQ6eEzh/bottom_mid/match_14330_Naafiri_vs_Akali.jpg
BV1L1VJ6nE7n,1,00:02:42,162,frame_000077.jpg,下方,Diana,Diana,低,data/screenshots/BV1L1VJ6nE7n\match_162_Naafiri_vs_Diana.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/top_mid/match_162_Naafiri_vs_Diana.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/bottom_mid/match_162_Naafiri_vs_Diana.jpg
BV1L1VJ6nE7n,1,00:24:02,1442,frame_000717.jpg,下方,Elise,Leblanc,低,data/screenshots/BV1L1VJ6nE7n\match_1442_Naafiri_vs_Elise.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/top_mid/match_1442_Naafiri_vs_Elise.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/bottom_mid/match_1442_Naafiri_vs_Elise.jpg
BV1L1VJ6nE7n,3,00:01:06,7266,frame_003629.jpg,下方,Sona,Leblanc,低,data/screenshots/BV1L1VJ6nE7n\match_7266_Naafiri_vs_Sona.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/top_mid/match_7266_Naafiri_vs_Sona.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/bottom_mid/match_7266_Naafiri_vs_Sona.jpg
BV1L1VJ6nE7n,3,00:29:12,8952,frame_004472.jpg,上方,Syndra,Diana,中,data/screenshots/BV1L1VJ6nE7n\match_8952_Naafiri_vs_Syndra.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/top_mid/match_8952_Naafiri_vs_Syndra.jpg,data/gold_crops_from_screenshot/BV1L1VJ6nE7n/bottom_mid/match_8952_Naafiri_vs_Syndra.jpg
